Country Name;Country Code;GDP per Capita;Birth Rate
Afghanistan;AFG;633,9478643;34,225
Angola;AGO;5232,690501;45,483
Albania;ALB;4588,64944;13,414
Arab World;ARB;7478,997517;26,74617155
United Arab Emirates;ARE;43962,71369;10,819
Argentina;ARG;12324,93879;17,544
Armenia;ARM;3873,533566;13,157
Antigua and Barbuda;ATG;13432,07921;16,319
Australia;AUS;61995,8297;12,9
Austria;AUT;51148,35888;9,6
Azerbaijan;AZE;7886,459144;17,9
Burundi;BDI;286,0023359;43,867
Belgium;BEL;47299,86011;11,1
Benin;BEN;903,464924;36,008
Burkina Faso;BFA;713,4564416;40,025
Bangladesh;BGD;1086,800087;19,796
Bulgaria;BGR;7851,265428;9,4
Bahrain;BHR;24855,21564;14,636
Bahamas, The;BHS;22217,49414;15,199
Bosnia and Herzegovina;BIH;4851,660528;8,947
Belarus;BLR;8025,304356;12,5
Belize;BLZ;4884,36862;22,933
Bolivia;BOL;3124,080762;23,896
Brazil;BRA;11728,79939;14,727
Barbados;BRB;15366,29261;12,098
Brunei Darussalam;BRN;40979,64194;16,043
Bhutan;BTN;2560,522132;17,726
Botswana;BWA;7153,444325;24,972
Central African Republic;CAF;351,994226;33,774
Canada;CAN;50185,4815;10,9
Central Europe and the Baltics;CEB;14084,05849;9,780777906
Switzerland;CHE;85610,84203;10,2
Chile;CHL;14566,14905;13,213
China;CHN;7587,289732;12,4
Cote d'Ivoire;CIV;1545,942249;37,118
Cameroon;CMR;1407,403413;36,736
Congo, Rep.;COG;3147,071524;36,536
Colombia;COL;7918,0789;15,773
Comoros;COM;810,07576;33,897
Cabo Verde;CPV;3641,107656;21,388
Costa Rica;CRI;10415,45665;14,768
Caribbean small states;CSS;10171,00504;15,38653013
Cyprus;CYP;27245,74462;11,326
Czech Republic;CZE;19502,41733;10,4
Germany;DEU;47767,00191;8,6
Djibouti;DJI;1813,596226;25,105
Denmark;DNK;61330,91263;10,1
Dominican Republic;DOM;6147,343569;20,853
Algeria;DZA;5484,066806;24,309
East Asia & Pacific (excluding high income);EAP;6242,271322;14,53069115
Early-demographic dividend;EAR;3329,300179;21,67178823
East Asia & Pacific;EAS;9491,669345;13,92377345
Europe & Central Asia (excluding high income);ECA;9426,077553;15,20367657
Europe & Central Asia;ECS;25846,09719;12,42654449
Ecuador;ECU;6345,840725;20,781
Egypt, Arab Rep.;EGY;3365,707421;27,797
Euro area;EMU;39594,64584;9,743801856
Spain;ESP;29718,50022;9,2
Estonia;EST;20147,77822;10,3
Ethiopia;ETH;573,5659603;32,412
European Union;EUU;36425,56595;10,06630837
Fragile and conflict affected situations;FCS;1643,528008;33,58846585
Finland;FIN;49864,57625;10,5
Fiji;FJI;5112,38189;20,075
France;FRA;42546,83879;12,4
Micronesia, Fed. Sts.;FSM;3057,091025;23,531
Gabon;GAB;10772,06175;30,166
United Kingdom;GBR;46278,52021;12
Georgia;GEO;4429,650075;13,532
Ghana;GHA;1441,636453;32,747
Guinea;GIN;539,615775;36,875
Gambia, The;GMB;441,293817;42,138
Guinea-Bissau;GNB;615,9409222;37,097
Equatorial Guinea;GNQ;18918,27683;35,007
Greece;GRC;21627,35429;8,5
Grenada;GRD;8573,693949;19,205
Greenland;GRL;43364,88285;14,3
Guatemala;GTM;3666,594606;27,112
Guyana;GUY;4028,163991;19,065
High income;HIC;42329,59088;11,02281266
Hong Kong SAR, China;HKG;40215,66773;8,6
Honduras;HND;2434,280046;21,203
Heavily indebted poor countries (HIPC);HPC;900,0908528;37,02041916
Croatia;HRV;13480,65075;9,3
Haiti;HTI;830,1500551;24,951
Hungary;HUN;14021,90227;9,5
IBRD only;IBD;5937,393949;17,10792089
IDA & IBRD total;IBT;4747,070487;20,8987277
IDA total;IDA;1411,699064;31,52628912
IDA blend;IDB;2227,595601;30,00149417
Indonesia;IDN;3499,588735;19,955
IDA only;IDX;946,9628471;32,37510303
India;IND;1576,817669;19,952
Ireland;IRL;54321,28772;14,4
Iran, Islamic Rep.;IRN;5442,874771;17,544
Iraq;IRQ;6336,468066;34,594
Iceland;ISL;52036,73181;13,4
Israel;ISR;37206,18294;21,3
Italy;ITA;35179,65395;8,3
Jamaica;JAM;5119,218417;13,54
Jordan;JOR;4830,976915;27,052
Japan;JPN;36152,69002;8
Kazakhstan;KAZ;13154,84459;23,13
Kenya;KEN;1368,491132;34,636
Kyrgyz Republic;KGZ;1279,769783;27,7
Cambodia;KHM;1094,576688;24,119
Kiribati;KIR;1509,521187;28,8
Korea, Rep.;KOR;27989,35399;8,6
Kosovo;KSV;4073,819117;17,4
Kuwait;KWT;43593,70202;20,064
Latin America & Caribbean (excluding high income);LAC;9605,179895;17,51641053
Lao PDR;LAO;1751,396971;26,666
Lebanon;LBN;8148,639167;15,192
Liberia;LBR;457,8585865;35,051
Libya;LBY;6573,386737;20,887
St. Lucia;LCA;7647,529503;15,168
Latin America & Caribbean;LCN;9953,678065;17,31765558
Least developed countries: UN classification;LDC;992,2029131;32,75919828
Low income;LIC;654,3131112;36,31123317
Sri Lanka;LKA;3852,88076;15,938
Lower middle income;LMC;2032,513915;23,1199863
Low & middle income;LMY;4628,482658;20,96477344
Lesotho;LSO;1034,185288;28,644
Late-demographic dividend;LTE;8720,038732;13,28616857
Lithuania;LTU;16489,72898;10,4
Luxembourg;LUX;116612,8842;10,9
Latvia;LVA;15692,19156;10,9
Macao SAR, China;MAC;96074,83696;11,514
Morocco;MAR;3190,310444;20,75
Moldova;MDA;2244,763762;10,725
Madagascar;MDG;467,1303343;34,456
Maldives;MDV;7640,647153;21,195
Middle East & North Africa;MEA;8470,160059;23,79571851
