year;fossil_consumption;renew_consumption
1990;86,83788464;2,07964991
1991;87,09636477;1,974577
1992;85,95284872;2,04518352
1993;86,00930916;2,09723018
1994;86,02180942;2,2437413
1995;85,81095471;2,29399983
1996;85,90869753;2,23824002
1997;84,62946066;2,80965062
1998;84,92246199;3,02867625
1999;83,93137164;3,24549135
2000;83,62197514;3,68145701
2001;83,60503302;3,88117775
2002;83,27815679;4,39248339
2003;83,18231409;5,04317606
2004;82,56569087;5,81031549
2005;81,85342088;6,75239994
2006;81,26910487;7,74414209
2007;81,27202873;9,38975985
2008;80,80231443;8,57843654
2009;79,96812673;9,61906315
2010;79,56099723;10,6044946
2011;80,37020876;11,5781786
2012;80,62522298;12,38408
