"Data Source","World Development Indicators",

"Last Updated Date","2016-10-14",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Aruba","ABW","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Andorra","AND","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","","","","","","","","","","","106638656.318678","140963328.997204","186082052.563586","224142318.053429","240526245.011782","258266391.273995","289283367.130741","360876138.374065","452587178.506969","465573783.438424","421799689.060686","363200244.772694","343845544.13469","340685233.744299","404888292.483104","533981683.114045","709820861.95724","805732394.423037","920224335.536545","1034986952.94272","1186353188.15457","1142448949.60425","1121336343.12699","1138837197.81418","1220621376.09772","1294837544.07987","1240329907.89065","1235007161.07747","1303211783.9844","1423303229.6883","1604710286.93552","2030525384.80823","2632874411.50251","3252170267.28796","3563604148.52778","3755581209.26699","3746213732.64539","3776616822.46434","3517456648.00914","3340882831.37237","3252452449.63279","3284045461.93224","","","",
"Afghanistan","AFG","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5096483724.10319","6146315478.94887","6966901590.56581","8679021177.84647","9888574034.43086","12797057338.5862","14429902221.7266","16559104981.9384","21414554151.0931","22369525251.246","21253739999.1352","20363423839.2347","",
"Angola","AGO","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","7753612637.3588","7947129761.52306","5618110745.72359","6094775109.62211","10140075872.6614","6954302805.09273","5884768530.70864","4733780195.47001","6025315350.65631","6139206267.00047","6016189592.21571","6085781588.28467","5250936596.43795","5903030554.12719","6689607437.98246","8219217928.17554","10295835043.8534","15242031579.2982","20934437786.9931","30253634834.9617","45314865181.3981","59978038500.8439","71969654311.1173","75707099272.5841","82097216939.6958","93811361001.6474","110650010225.685","116319273117.564","104489389762.006","",
"Albania","ALB","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","2190743081.26295","2332656938.15264","2392371983.62412","2534775243.2218","2222566164.91128","1371906619.0913","969813375.417753","1044129833.59684","1289548193.22616","2106321923.34625","2920153389.27999","2610446154.42393","2830938584.58298","3133570682.17731","3599110958.54504","4075316290.07568","4299366513.97801","5145317135.16926","6508252685.79136","8049507419.04814","9233876611.05834","10343305951.3014","11947254619.0049","12539577880.4674","12709489033.5204","12765821980.7387","12658733935.5583","12973151447.9989","12883040678.4317","12385693726.4984","",
"Arab World","ARB","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","522123071525.484","547559491673.991","587822886696.622","621095333743.478","630966070746.318","640366932801.107","683832638174.832","721663739222.212","735356560785.634","804891003405.58","944053178728.896","1114170374279.92","1312967349740.73","1547923521839.43","1858269507216.46","1932056036205.41","2055966822915.04","2190785672892.1","2590609610238.36","2832769010629.98","2897113478772.47","2767920301257.47","",
"United Arab Emirates","ARE","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","105599045553.333","107622937090.609","121688462675.907","147125913787.407","172049184076.536","208703736351.595","244203196190.034","282944595351.615","277731018376.06","284364416715.919","307939747701.925","359303586653.659","393028837459.029","405606644576.606","395320644128.582","",
"Argentina","ARG","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","","","24436915765.6522","27307536126.5193","30359663922.6555","28316034739.6751","28110534759.7452","30585418434.7023","31582381900.3095","35775760457.1896","36156762188.3046","45649404333.7341","62985567128.6943","70261203395.6355","61903679200.9162","59112910992.471","59256732656.0495","72112302462.9185","82660225830.9205","80146672084.8503","74565387184.022","82329899840.681","84267616755.8252","80453833078.1275","92857323881.5721","112638050160.818","124116130587.459","93730090346.9473","103869964076.715","131014041434.961","211262316809.291","241273096770.125","260408189264.035","256347036066.377","272663665710.822","290495384203.296","289536636762.45","276294456305.334","275544319823.424","260811675445.251","148962755046.829","136125250318.059","137683345833.897","180171549150.746","217483366842.849","260978324320.05","309955527676.579","317996877565.477","381029051402.087","446270095891.447","499782059830.818","546424833506.22","530063184013.983","541107693168.507","",
"Armenia","ARM","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1063409747.26103","1102754545.96414","1314498886.0638","1466393963.61595","1641685571.48292","1747584372.60828","1825628017.64364","1893112767.32344","2025189580.86439","2172390024.63174","2441392029.25358","2894719583.6382","3506971033.46828","4581813075.35582","5963511555.65753","8096070661.98992","10463239023.9374","9630072517.30096","9986732950.71501","10160340614.1342","11192573496.9949","11767482961.7366","12083408958.6076","11719042542.3333","",
"American Samoa","ASM","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
